split,segment_column,segment_value,threshold,row_count,positive_count,prevalence,pr_auc,roc_auc,precision,recall,f1,predicted_positive_rate,predicted_negative_rate,positive_prediction_count,negative_prediction_count,specificity,negative_predictive_value,true_positive_count,true_negative_count,false_positive_count,false_negative_count
test,vip_level,V4,0.7,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.8340829525900433,0.4861017933839142,0.6142310314089455,0.36201281963156445,0.6379871803684356,84265,148503,0.8414511062473775,0.49965320565914495,70284,74200,13981,74303
test,vip_level,V4,0.75,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.8587304915675643,0.3965363414414851,0.5425425709594849,0.2868349601319769,0.7131650398680232,66766,166002,0.8930381828285004,0.47438585077288226,57334,78749,9432,87253
test,vip_level,V4,0.8,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.8823792759610102,0.2998955646081598,0.44764824909150974,0.21111578911190543,0.7888842108880946,49141,183627,0.9344530000793821,0.4487411981898087,43361,82401,5780,101226
test,vip_level,V4,0.85,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.9081136096180147,0.1974728018424893,0.3244029358965619,0.13507440885345065,0.8649255911465493,31441,201327,0.9672378403510961,0.4236490882991352,28552,85292,2889,116035
test,vip_level,V4,0.9,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.9359574008778874,0.08995967825599811,0.16414275258070216,0.0597032238108331,0.9402967761891668,13897,218871,0.9899071228495935,0.39882396480118426,13007,87291,890,131580
test,vip_level,V4,0.95,232768,144587,0.6211635620016497,0.8175167130860623,0.7340366323974108,0.9659763313609467,0.013548935934765919,0.026723050165399175,0.00871253780588397,0.991287462194116,2028,230740,0.9992175185130584,0.3818670364912889,1959,88112,69,142628
test,vip_level,V5,0.05,23978,15902,0.6631912586537659,0.8397751609465112,0.7286499002153419,0.6631912586537659,1.0,0.7974924774322969,1.0,0.0,23978,0,0.0,0.0,15902,0,8076,0
test,vip_level,V5,0.1,23978,15902,0.6631912586537659,0.8397751609465112,0.7286499002153419,0.6631912586537659,1.0,0.7974924774322969,1.0,0.0,23978,0,0.0,0.0,15902,0,8076,0
test,vip_level,V5,0.15,23978,15902,0.6631912586537659,0.8397751609465112,0.7286499002153419,0.6631912586537659,1.0,0.7974924774322969,1.0,0.0,23978,0,0.0,0.0,15902,0,8076,0
test,vip_level,V5,0.2,23978,15902,0.6631912586537659,0.8397751609465112,0.7286499002153419,0.6631908237747653,0.999874229656647,0.7974521654086315,0.9998748853115356,0.00012511468846443385,23975,3,0.00012382367508667657,0.3333333333333333,15900,1,8075,2
test,vip_level,V5,0.25,23978,15902,0.6631912586537659,0.8397751609465112,0.7286499002153419,0.6643087355070947,0.9980505596780279,0.7976779835649486,0.9963716740345316,0.0036283259654683597,23891,87,0.006934125804853888,0.6436781609195402,15871,56,8020,31
test,vip_level,V5,0.3,23978,15902,0.6631912586537659,0.8397751609465112,0.7286499002153419,0.6659352715304443,0.9924537793988177,0.7970505795308199,0.9883643339728084,0.011635666027191571,23699,279,0.019687964338781574,0.5698924731182796,15782,159,7917,120
