split,segment_column,segment_value,threshold,row_count,positive_count,prevalence,pr_auc,roc_auc,precision,recall,f1,predicted_positive_rate,predicted_negative_rate,positive_prediction_count,negative_prediction_count,specificity,negative_predictive_value,true_positive_count,true_negative_count,false_positive_count,false_negative_count
validation,vip_level,GLOBAL,0.45,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.6582363333730991,0.7207280055732485,0.688066175968456,0.5739957251370744,0.4260042748629256,352062,261291,0.5876799501057169,0.656337187273959,231740,171495,120322,89796
validation,vip_level,GLOBAL,0.5,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.693511552467887,0.6289995521496815,0.6596821068494134,0.4754619281229569,0.5245380718770432,291626,321727,0.6937121552205663,0.6292198043682998,202246,202437,89380,119290
validation,vip_level,GLOBAL,0.55,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.7253980350559206,0.547664958200637,0.6241247866792133,0.39578350476805363,0.6042164952319464,242755,370598,0.7715657415435015,0.6075478011214308,176094,225156,66661,145442
validation,vip_level,GLOBAL,0.6,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.7553995111202574,0.46806267416401276,0.5779897727774609,0.3248227366622483,0.6751772633377517,199231,414122,0.8330049311726184,0.5869888583557502,150499,243085,48732,171037
validation,vip_level,GLOBAL,0.65,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.7879250204161734,0.38708884852707004,0.5191376832902675,0.2575401114855556,0.7424598885144444,157963,455390,0.8852020272979298,0.5672434616482576,124463,258317,33500,197073
validation,vip_level,GLOBAL,0.7,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.8168982868588034,0.30950500099522293,0.4489228819083406,0.19861808778957632,0.8013819122104237,121823,491530,0.9235616842061978,0.5483103777999309,99517,269511,22306,222019
validation,vip_level,GLOBAL,0.75,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.8462617714074058,0.23448696257961785,0.36722199357570945,0.14525566843237092,0.8547443315676291,89093,524260,0.9530630497880521,0.5305001335215351,75396,278120,13697,246140
validation,vip_level,GLOBAL,0.8,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.8768500277819872,0.1619632016321656,0.27342246677184867,0.09683004729739644,0.9031699527026036,59391,553962,0.9749363470942406,0.5135785487091172,52077,284503,7314,269459
validation,vip_level,GLOBAL,0.85,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.9071093534443117,0.09202391023089172,0.16709632787903603,0.05318144689925704,0.9468185531007429,32619,580734,0.9896167803794844,0.49727930515520014,29589,288787,3030,291947
validation,vip_level,GLOBAL,0.9,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.9391714259813253,0.0322203423566879,0.0623032351375813,0.017984749402057215,0.9820152505979428,11031,602322,0.9977006137408033,0.48337268105764025,10360,291146,671,311176
validation,vip_level,GLOBAL,0.95,613353,321536,0.5242266688187716,0.7444431638183772,0.7226777719235065,0.9688057040998217,0.0033806478901273885,0.006737784279329816,0.001829289169532064,0.9981707108304679,1122,612231,0.999880061819565,0.47658808521620105,1087,291782,35,320449
